 time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
72,535852,135532,39416,27458,10881,12257,13495,3177,00_walk.csv
73,75493,37608,8975,2679,6873,4627,3776,340,00_walk.csv
74,1504027,109376,112373,103918,31932,23984,11039,16097,00_walk.csv
75,211966,58905,30432,7453,7065,7581,6436,3371,00_walk.csv
76,336181,152131,19867,8309,8292,11463,8196,889,00_walk.csv
77,121134,191745,15295,6262,18080,4678,4226,1679,00_walk.csv
78,1064469,49072,17525,13284,4042,2823,2060,1160,00_walk.csv
79,332118,37290,3245,5311,2286,5518,5970,1066,00_walk.csv
80,1911979,93802,58006,12266,37007,17870,8508,3750,00_walk.csv
81,280697,29015,4972,5273,4003,1541,1756,794,00_walk.csv
82,1132357,149071,35277,60133,31078,35824,13838,10623,00_walk.csv
83,607342,137153,9307,101251,39745,31229,13510,10285,00_walk.csv
84,79038,46814,3728,3844,4480,4696,3911,2297,00_walk.csv
85,494232,78809,29666,18909,16888,8827,11608,2854,00_walk.csv
86,52953,44723,25265,35650,15486,18506,8330,3363,00_walk.csv
87,508579,174818,10959,23230,16208,10653,14204,5499,00_walk.csv
88,235346,13369,4711,19595,17512,3499,4301,1433,00_walk.csv
89,696055,189195,82398,20236,42645,37787,18139,8418,00_walk.csv
90,433945,18389,17925,9168,8662,9009,4009,1873,00_walk.csv
91,456649,66301,2059,8704,12462,3725,3682,1726,00_walk.csv
92,707943,170382,18143,16848,6348,11746,15199,18523,00_walk.csv
93,153718,18615,26865,2495,2071,2340,2696,1295,00_walk.csv
94,992561,24541,3401,7745,3356,2954,855,868,00_walk.csv
95,1453437,139385,6886,6560,15812,6756,1798,1755,00_walk.csv
96,60885,49333,9952,10278,18392,8630,4425,2939,00_walk.csv
97,491559,53878,50967,16548,2646,6283,2901,1390,00_walk.csv
98,328832,210585,98605,35526,30861,14361,7646,1946,00_walk.csv
99,529965,89573,11270,8193,6916,7541,2429,1301,00_walk.csv
100,1949100,189439,50902,133716,101700,36389,18856,6432,00_walk.csv
101,406689,188074,15291,15473,34330,14611,12485,3628,00_walk.csv
102,59952,31584,11577,16090,18716,14932,6933,5666,00_walk.csv
103,116279,50614,21423,6580,2390,3682,3756,4016,00_walk.csv
104,481921,378567,136993,74716,50822,33435,15411,10299,00_walk.csv
105,588532,265902,13363,35875,15754,43670,18636,17411,00_walk.csv
106,77076,161823,24935,45944,8636,5784,10360,4362,00_walk.csv
107,182298,19722,10627,14790,5107,18456,3330,925,00_walk.csv
108,149311,220937,116115,35424,7305,9003,23230,3393,00_walk.csv
109,385211,406169,38783,40013,32890,13705,9593,8728,00_walk.csv
110,739329,12324,7482,7410,6292,1849,2566,888,00_walk.csv
111,960143,180608,36142,27388,19937,15919,19966,3902,00_walk.csv
112,400405,129865,42889,5308,9453,17610,12764,10450,00_walk.csv
113,63752,8342,3363,2277,4713,4568,3232,3730,00_walk.csv
114,765801,79162,9861,47061,16565,13110,16140,2827,00_walk.csv
115,99553,206618,55824,10837,12590,38823,11397,9250,00_walk.csv
116,154571,125022,166312,72450,51334,35023,19635,18316,00_walk.csv
117,879547,41622,38840,3681,19132,24485,13817,6921,00_walk.csv
118,296639,106403,22478,17376,12250,10334,2943,3524,00_walk.csv
119,231564,27842,1787,2449,2244,559,629,566,00_walk.csv
120,17653,109075,18938,79104,8101,28532,6518,2634,00_walk.csv
120,109298,64473,18212,10064,8184,4693,957,712,00_walk.csv
,,,,,,,,,
